name,type,start_time,duration,"value"
"USB LS and FS","v1frame",0.5048645,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.504865167,0.000000667,"PID NAK"
"USB LS and FS","v1frame",0.504865833,0.00000025,"EOP"
"USB LS and FS","v1frame",0.505730542,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.505731208,0.000000667,"PID SOF"
"USB LS and FS","v1frame",0.505731875,0.000001,"Frame # 0x7FA"
"USB LS and FS","v1frame",0.505732875,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.505733292,0.00000025,"EOP"
"USB LS and FS","v1frame",0.505855917,0.000000667,"SYNC"
"USB LS and FS","v1frame",0.505856583,0.000000667,"PID IN"
"USB LS and FS","v1frame",0.50585725,0.000000917,"Address=0x02 Endpoint=0x02"
"USB LS and FS","v1frame",0.505858167,0.000000417,"CRC OK 0x10"
"USB LS and FS","v1frame",0.505858583,0.00000025,"EOP"
"USB LS and FS","v1frame",0.505859208,0.000000667,"SYNC"
